,Host,TikTok,,Level,Month,Discord,Agent,Ranks,Bonus,New,Tix,Days,Day Pace,Active,Days Left,Hours,Hrs Goal,Hours Left,💎,Status,💎 Last 30,Growth %,Grad Left,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,LH,LH Camps
22,7513787055730638849,cwdetroit,GO,6,4,@cwdetroit.,CARRINGTON,0,"2,000",542,6K,31,141%,Y,1.00,142,80,-,"1,039,231",,"1,010,597",-20%,NR,"1,291,786","1,411,116",6,6,74,"72,000","69,000",0,2x,0,FALSE,FALSE
23,7359135322615185413,aaronhunt30575,GO,1,33,@aaronhunt30,CARRINGTON,0,0,137,0,15,68%,Y,1.00,36,40,4,"888,661",,"883,423",-10%,NR,"983,160","499,353",2,1,46,"384,250",0,0,1x,0,FALSE,FALSE
24,7576723590549389326,gaywhonotme,GO,5,3,@brandongraja6867,SVEN + CARRINGTON,0,0,"1,784",4K,29,132%,Y,1.00,126,80,-,"864,252",✪,"864,252",19%,19,"724,497","23,257",4,2,62,"11,000","11,000",0,1x,0,FALSE,FALSE
25,7359135727810052101,hotterjakepaul,GO,3,31,@hotterjakepaul,CARRINGTON,0,0,322,58K,26,118%,Y,1.00,66,80,14,"856,560",,"839,904",-11%,NR,"967,714","1,880,865",2,3,52,"926,800","116,000",0,1x,0,FALSE,FALSE
26,7359134456151867397,luke.h.reynoldsmusic,GO,2,48,@lukereynoldsmusic,CARRINGTON,0,"1,000",110,42K,25,114%,Y,1.00,49,60,11,"848,108",,"153,732",77%,NR,"478,519","898,736",2,2,44,"131,500","30,000","-5,000",1x,0,FALSE,FALSE
27,7409743090665242641,theviolution,GO,1,17,@theviolution,CARRINGTON,0,0,720,196K,14,64%,Y,1.00,53,60,7,"833,320",,"789,259",-10%,NR,"928,928","1,253,022",2,2,46,"2,533,600","95,000",0,1x,0,,53
28,7555294248464039991,follow_the_breeze,GO,5,5,@brianna_the_breeze,CARRINGTON,0,"10,000",929,28K,28,127%,Y,1.00,116,80,-,"752,245",,"703,219",41%,-38,"534,034","158,737",4,1,59,"38,500","38,500",0,1x,0,FALSE,FALSE
29,7359135407352610822,burnt.tatertot,GO,5,32,@burnt.tatertot,CARRINGTON,0,0,94,4K,26,118%,Y,1.00,107,80,-,"735,549",,"735,549",-46%,NR,"1,364,448","1,210,681",6,3,69,"108,000",0,0,1x,0,,107
30,7359136672245809158,natalianope,GO,2,28,@nataliejoke,CARRINGTON,0,"5,000",103,120K,17,77%,Y,1.00,52,60,8,"628,757",,"628,757",-38%,NR,"1,008,200","1,008,814",3,2,53,"748,450","102,950","5,000",1x,"5,000",,52
31,7359134698641293317,bobbyjwil,GO,5,41,@bobbyjwil,CARRINGTON,0,0,603,9K,27,123%,Y,1.00,126,80,-,"596,896",,"535,800",-47%,NR,"1,125,547","1,063,112",6,6,67,"120,250",0,250,1x,250,FALSE,FALSE
32,7451090481020321808,growandglowasmr,GO,5,14,@growandglowasmr,BRYTON + CARRINGTON,0,0,759,4K,26,118%,Y,1.00,112,80,-,"595,296",,"529,211",-31%,NR,"859,638","1,209,082",5,6,63,"303,500","136,000","32,500",1x,"32,500",- / -,112
33,7359135698651217926,mystiquedejello,GO,0,31,@mystiquedejello,CARRINGTON,0,0,"2,077",300,11,50%,Y,1.00,48,60,12,"574,136",,"491,101",18%,NR,"488,302","624,658",0,1,31,"7,425",0,"6,425",1x,"6,425",FALSE,FALSE
34,7359134574070398981,sierralandmagic,GO,2,44,@sierralandasmr,CARRINGTON,0,0,"1,522",2K,18,82%,Y,1.00,69,80,11,"554,362",,"554,362",-23%,NR,"723,148","35,336",3,-1,47,"606,475",0,"12,075",1x,"12,075",FALSE,FALSE
35,7454359110578864145,alliemsx,GO,5,14,@alliems,CARRINGTON,0,0,452,0,22,100%,Y,1.00,128,80,-,"535,672",,"479,120",-4%,NR,"556,035","477,656",5,5,60,"237,000",0,500,1x,500,- / -,128
36,7474398331670626321,_alycen,GO,5,12,@alycen_,CARRINGTON,0,"2,000","2,827",2K,31,141%,Y,1.00,190,80,-,"521,978",,"518,509",1692%,-256,"29,122","3,462",1,-1,34,"9,500","2,000","7,500",1x,"7,500",FALSE,FALSE
37,7359136208586637317,thebellaflora__,GO,3,29,@thebellaflora_,CARRINGTON,0,0,208,1K,21,95%,Y,1.00,65,80,15,"497,820",,"497,750",134%,NR,"212,358","141,080",2,1,41,"63,250",0,-750,1x,0,FALSE,FALSE
38,7565318514274418702,healinghomegirlco,GO,5,3,@healinghomegirlco,CARRINGTON,0,0,"2,237",6K,29,132%,Y,1.00,131,80,-,"497,696",✧,"479,963",12%,NR,"444,750","215,680",5,5,58,0,0,0,1x,0,FALSE,FALSE
39,7359136272692117509,koryskitchen,GO,3,29,@koryskitchen,CARRINGTON,0,0,145,2K,28,127%,Y,1.00,68,80,12,"459,866",,"438,547",-7%,NR,"492,021","444,712",3,3,46,"95,750",0,"51,250",1x,"51,250",FALSE,FALSE
40,7359135408745447429,b.herbz,GO,1,32,@b.herb,CARRINGTON,0,0,38,50K,16,73%,Y,1.00,35,40,5,"448,700",,"448,700",93%,NR,"232,571","139,435",0,-1,30,"81,150","5,000",0,1x,0,FALSE,FALSE
41,7581605738645078071,jordan.borges,GO,5,2,@jordan.borges,DYLAN,0,"9,000",271,13K,28,127%,Y,1.00,110,80,-,"431,151",✪,"431,130",958%,32,"40,754",,2,,37,"7,000","7,000",0,1x,0,FALSE,FALSE
